Professor,University,Conference,Homepage,Resolved Homepage,Selected Pages,Pages Parsed,Members Discovered,Current Members,Former Members,Failure Category,Navigation Confidence,Pipeline Status
Yuhan Liu 0004,University of Chicago,SIGCOMM; NSDI; EuroSys,,,,0,0,0,0,no_homepage,,skipped
Bruno Ribeiro 0001,Purdue University,SIGCOMM,https://www.cs.purdue.edu/homes/ribeirob/,https://www.cs.purdue.edu/homes/ribeirob/,,0,0,0,0,navigation_failure,,skipped
Vasiliki Kalavri,Boston University,EuroSys; NSDI; SOSP,,,,0,0,0,0,no_homepage,,skipped
Fan Lai 0001,University of Illinois Urbana-Champaign,OSDI; NSDI; SOSP,https://fanlai.me/,https://fanlai.me/,https://fanlai.me/students,1,0,0,0,page_classifier_rejection,1.0,page_rejected
Sanjay G. Rao,Purdue University,SIGCOMM; NSDI; ATC,http://cobweb.ecn.purdue.edu/~sanjay/,http://cobweb.ecn.purdue.edu/~sanjay/,https://purdue-isl.github.io/team; https://purdue-isl.github.io/,2,20,20,17,,1.0,success
Todd D. Millstein,"University of California, Los Angeles",SIGCOMM; NSDI; ASPLOS,http://www.cs.ucla.edu/~todd/,http://www.cs.ucla.edu/~todd/,https://www.microsoft.com/en-us/research/academic-program/outstanding-collaborator-award; http://web.cs.ucla.edu/~todd/alumni.html,2,0,0,0,page_classifier_rejection,0.97,page_rejected
David Walker 0001,Princeton University,SIGCOMM; NSDI,https://www.cs.princeton.edu/~dpw/,https://www.cs.princeton.edu/~dpw/,https://www.cs.princeton.edu/~dpw/coauthors.htm,1,15,15,0,,0.672,success
Muhammad Shahbaz 0001,Purdue University,OSDI; SIGCOMM; NSDI,https://mshahbaz.gitlab.io/,https://mshahbaz.gitlab.io/,,0,0,0,0,navigation_failure,,skipped
David P. Woodruff,Carnegie Mellon University,,https://www.cs.cmu.edu/~dwoodruf/,https://www.cs.cmu.edu/~dwoodruf/,,0,0,0,0,navigation_failure,,skipped
Heng Huang 0001,"University of Maryland, College Park",,https://www.cs.umd.edu/~heng/,https://www.cs.umd.edu/~heng/,,0,0,0,0,navigation_failure,,skipped
Mingyi Hong 0001,University of Minnesota,,https://people.ece.umn.edu/~mhong/mingyi.html,https://people.ece.umn.edu/~mhong/mingyi.html,,0,0,0,0,homepage_resolution_failure,,skipped
Philip S. Yu,University of Illinois Chicago,,https://www.cs.uic.edu/~psyu/,https://www.cs.uic.edu/~psyu/,,0,0,0,0,homepage_resolution_failure,,skipped
Joshua B. Tenenbaum,Massachusetts Institute of Technology,,https://mitibmwatsonailab.mit.edu/people/joshua-tenenbaum/,https://mitibmwatsonailab.mit.edu/people/joshua-tenenbaum/,,0,0,0,0,homepage_resolution_failure,,skipped
Zhenyu Zhang 0015,The University of Texas at Austin,,,,,0,0,0,0,no_homepage,,skipped
Sijia Liu 0001,Michigan State University,,http://sliu17.mysite.syr.edu/,http://sliu17.mysite.syr.edu/,,0,0,0,0,homepage_resolution_failure,,skipped
